0.16, 4, red, Entry
25.65, 2, red, Entry
25.65, 1, red, Entry
25.65, 1, red, Entry
25.65, 1, red, Entry
25.65, 3, green, Entry
25.65, 4, yellow, Exit
25.80, 4, red, Entry
25.80, 3, red, Entry
25.80, 2, red, Entry
25.80, 2, red, Entry
25.80, 2, red, Entry
25.80, 3, green, Entry
25.80, 4, yellow, Entry
26.03, 3, red, Entry
26.03, 4, red, Entry
26.03, 2, red, Entry
26.03, 3, red, Entry
26.03, 1, red, Entry
26.03, 2, red, Entry
26.03, 1, red, Entry
26.03, 1, red, Entry
26.03, 2, red, Entry
26.03, 3, green, Entry
26.03, 4, yellow, Exit
26.22, 3, red, Entry
26.22, 3, red, Entry
26.22, 4, red, Entry
26.22, 2, red, Entry
26.22, 2, red, Entry
26.22, 1, red, Entry
26.22, 1, red, Entry
26.22, 1, red, Exit
26.22, 3, green, Exit
26.22, 4, yellow, Entry
26.41, 4, red, Entry
26.41, 2, red, Entry
26.41, 3, red, Entry
26.41, 2, red, Entry
26.41, 1, red, Exit
26.41, 1, red, Exit
26.41, 3, green, Entry
26.41, 4, yellow, Exit
26.56, 3, red, Entry
26.56, 4, red, Entry
26.56, 3, red, Entry
26.56, 2, red, Entry
26.56, 1, red, Entry
26.56, 1, red, Entry
26.56, 2, red, Entry
26.56, 3, green, Entry
26.56, 4, yellow, Exit
26.73, 4, red, Entry
26.73, 3, red, Entry
26.73, 3, red, Entry
26.73, 2, red, Entry
26.73, 2, red, Entry
26.73, 1, red, Exit
26.73, 1, red, Exit
26.73, 3, green, Entry
26.73, 4, yellow, Exit
26.96, 3, red, Entry
26.96, 4, red, Entry
26.96, 3, red, Entry
26.96, 3, red, Entry
26.96, 2, red, Entry
26.96, 2, red, Exit
26.96, 2, red, Entry
26.96, 1, red, Entry
26.96, 2, red, Entry
26.96, 3, green, Entry
26.96, 4, yellow, Exit
27.34, 3, red, Entry
27.34, 2, red, Exit
27.34, 4, red, Entry
27.34, 1, red, Entry
27.34, 2, red, Entry
27.34, 1, red, Entry
27.34, 3, green, Entry
27.60, 4, red, Entry
27.60, 3, red, Entry
27.60, 2, red, Entry
27.60, 1, red, Entry
27.60, 2, red, Exit
27.60, 1, red, Entry
27.60, 1, red, Entry
27.60, 2, red, Entry
27.60, 1, red, Entry
27.60, 3, green, Exit
27.83, 3, red, Entry
27.83, 3, red, Entry
27.83, 4, red, Entry
27.83, 1, red, Entry
27.83, 2, red, Exit
27.83, 1, red, Entry
27.83, 2, red, Entry
28.03, 4, red, Entry
28.03, 4, red, Entry
28.03, 4, red, Entry
28.03, 3, red, Entry
28.03, 2, red, Entry
28.03, 2, red, Entry
28.03, 1, red, Entry
28.03, 2, red, Entry
28.22, 4, red, Entry
28.22, 3, red, Entry
28.22, 1, red, Entry
28.43, 3, red, Entry
28.43, 3, red, Entry
28.43, 2, red, Entry
28.43, 4, red, Entry
28.43, 1, red, Entry
28.43, 1, red, Entry
28.63, 3, red, Entry
28.63, 4, red, Entry
28.63, 3, red, Entry
28.63, 4, red, Entry
28.63, 2, red, Entry
28.63, 2, red, Entry
28.63, 1, red, Entry
28.63, 1, red, Entry
28.97, 3, red, Entry
28.97, 4, red, Entry
28.97, 3, red, Entry
28.97, 2, red, Entry
28.97, 1, red, Entry
28.97, 2, red, Entry
28.97, 1, red, Entry
29.28, 3, red, Entry
29.28, 4, red, Entry
29.28, 3, red, Exit
29.28, 3, red, Entry
29.28, 2, red, Entry
29.28, 1, red, Entry
29.44, 3, red, Entry
29.44, 4, red, Entry
29.44, 3, red, Entry
29.44, 1, red, Entry
29.44, 1, red, Entry
29.61, 3, red, Entry
29.61, 3, red, Entry
29.61, 1, red, Entry
29.61, 1, red, Entry
29.61, 1, red, Entry
29.76, 4, red, Entry
29.76, 3, red, Entry
29.76, 1, red, Entry
29.76, 2, red, Entry
29.90, 3, red, Entry
29.90, 4, red, Entry
29.90, 1, red, Entry
29.90, 1, red, Entry
30.05, 3, red, Entry
30.05, 4, red, Entry
30.05, 1, red, Entry
30.05, 2, red, Entry
30.05, 1, red, Entry
30.19, 3, red, Entry
30.19, 4, red, Entry
30.19, 1, red, Entry
30.19, 1, red, Exit
30.36, 3, red, Entry
30.36, 4, red, Entry
30.36, 3, red, Entry
30.36, 4, red, Entry
30.36, 3, red, Entry
30.36, 1, red, Entry
30.36, 1, red, Entry
30.52, 3, red, Entry
30.52, 3, red, Entry
30.52, 4, red, Entry
30.52, 4, red, Entry
30.52, 1, red, Entry
30.52, 1, red, Entry
30.67, 3, red, Entry
30.67, 4, red, Entry
30.84, 4, red, Entry
30.84, 3, red, Entry
30.84, 3, red, Entry
30.84, 1, red, Entry
30.84, 2, red, Entry
30.84, 1, red, Entry
31.00, 4, red, Entry
31.00, 3, red, Entry
31.00, 4, red, Entry
31.00, 3, red, Entry
31.00, 4, red, Entry
31.00, 3, red, Entry
31.00, 2, red, Entry
31.00, 1, red, Entry
31.00, 1, red, Entry
31.17, 4, red, Entry
31.17, 4, red, Entry
31.17, 3, red, Entry
31.17, 3, red, Entry
31.17, 4, red, Entry
31.17, 3, red, Entry
31.17, 1, red, Entry
31.17, 3, red, Entry
31.17, 1, red, Entry
31.17, 2, red, Entry
31.32, 3, red, Entry
31.32, 4, red, Entry
31.32, 3, red, Entry
31.32, 3, red, Entry
31.32, 1, red, Entry
31.32, 1, red, Entry
31.32, 1, red, Exit
31.49, 4, red, Entry
31.49, 4, red, Entry
31.49, 3, red, Entry
31.49, 4, red, Entry
31.49, 3, red, Entry
31.49, 1, red, Entry
31.49, 1, red, Entry
31.49, 1, red, Entry
31.65, 3, red, Entry
31.65, 3, red, Entry
31.65, 4, red, Entry
31.65, 4, red, Entry
31.65, 4, red, Entry
31.65, 3, red, Entry
31.65, 3, red, Entry
31.65, 3, red, Entry
31.65, 4, red, Entry
31.65, 1, red, Entry
31.65, 1, red, Entry
31.84, 3, red, Entry
31.84, 3, red, Entry
31.84, 4, red, Entry
31.84, 4, red, Entry
31.84, 3, red, Entry
31.84, 3, red, Entry
31.84, 1, red, Entry
31.84, 1, red, Exit
32.00, 3, red, Entry
32.00, 3, red, Entry
32.00, 4, red, Entry
32.00, 1, red, Entry
32.00, 1, red, Entry
32.00, 1, red, Entry
32.16, 4, red, Entry
32.16, 3, red, Entry
32.16, 4, red, Entry
32.16, 4, red, Entry
32.16, 3, red, Entry
32.16, 1, red, Entry
32.16, 1, red, Entry
32.30, 3, red, Entry
32.30, 4, red, Entry
32.30, 4, red, Entry
32.30, 3, red, Exit
32.30, 1, red, Entry
32.30, 1, red, Exit
32.46, 3, red, Entry
32.46, 4, red, Entry
32.46, 3, red, Entry
32.46, 2, red, Entry
32.46, 2, red, Entry
32.46, 1, red, Entry
32.62, 3, red, Entry
32.62, 4, red, Entry
32.62, 3, red, Entry
32.62, 1, red, Entry
32.62, 1, red, Entry
32.79, 3, red, Entry
32.79, 4, red, Entry
32.79, 3, red, Entry
32.79, 3, red, Entry
32.79, 1, red, Entry
32.79, 1, red, Entry
32.96, 1, red, Entry
32.96, 4, red, Entry
32.96, 1, red, Entry
32.96, 2, green, Entry
32.96, 2, yellow, Entry
33.12, 4, red, Entry
33.12, 3, red, Entry
33.12, 3, red, Entry
33.12, 3, red, Entry
33.12, 4, red, Entry
33.12, 1, red, Entry
33.12, 1, red, Entry
33.12, 1, red, Entry
33.12, 2, yellow, Entry
33.28, 3, red, Entry
33.28, 3, red, Entry
33.28, 4, red, Entry
33.28, 4, red, Entry
33.28, 3, red, Entry
33.28, 2, red, Entry
33.28, 1, red, Entry
33.28, 2, red, Entry
33.28, 1, red, Entry
33.28, 1, red, Entry
33.28, 1, red, Exit
33.28, 2, yellow, Entry
33.43, 4, red, Entry
33.43, 3, red, Entry
33.43, 4, red, Entry
33.43, 3, red, Entry
33.43, 2, red, Entry
33.43, 1, red, Entry
33.43, 1, red, Entry
33.43, 1, red, Entry
33.43, 1, red, Entry
33.43, 2, yellow, Entry
33.57, 4, red, Entry
33.57, 4, red, Entry
33.57, 3, red, Entry
33.57, 2, red, Entry
33.57, 1, red, Entry
33.57, 2, red, Entry
33.57, 1, red, Entry
33.57, 2, yellow, Exit
33.73, 3, red, Entry
33.73, 4, red, Entry
33.73, 4, red, Entry
33.73, 3, red, Entry
33.73, 2, yellow, Exit
33.88, 4, red, Exit
33.88, 4, red, Entry
33.88, 3, red, Entry
33.88, 2, red, Entry
33.88, 1, red, Entry
33.88, 1, red, Entry
33.88, 2, red, Entry
33.88, 2, yellow, Exit
34.02, 3, red, Entry
34.02, 4, red, Entry
34.02, 3, red, Entry
34.02, 4, red, Exit
34.02, 1, red, Entry
34.02, 1, red, Entry
34.02, 2, yellow, Entry
34.17, 4, red, Exit
34.17, 4, red, Exit
34.17, 1, red, Entry
34.17, 1, red, Entry
34.17, 1, red, Entry
34.17, 2, yellow, Exit
34.32, 4, red, Entry
34.32, 3, red, Entry
34.32, 1, red, Entry
34.32, 2, yellow, Exit
34.45, 3, red, Entry
34.45, 4, red, Entry
34.45, 4, red, Exit
34.45, 1, red, Entry
34.45, 1, red, Entry
34.45, 1, red, Entry
34.45, 1, red, Entry
34.45, 2, yellow, Entry
34.63, 4, red, Entry
34.63, 1, red, Entry
34.63, 1, red, Entry
34.63, 2, yellow, Exit
34.78, 4, red, Exit
34.78, 1, red, Entry
34.78, 1, red, Entry
34.78, 2, yellow, Exit
